column 1	Chemical Formula
L-ORNITHINE	C5H13N2O2
L-PANTOATE	C6H11O4
LAUROYLCOA-CPD	C33H54N7O17P3S
LEU	C6H13NO2
LINOLEIC_ACID	C18H31O2
LINOLENIC_ACID	C18H29O2
LL-DIAMINOPIMELATE	C7H14N2O4
LYS	C6H15N2O2
Linoleoyl-groups	
MAL	C4H4O5
MALONATE-S-ALD	C3H3O3
MALONYL-COA	C24H33N7O19P3S
MANNOSE-6P	C6H11O9P
MESO-DIAMINOPIMELATE	C7H14N2O4
MET	C5H11NO2S
METHACRYLYL-COA	C25H36N7O17P3S
METHYL-GLYOXAL	C3H4O2
METHYLENE-THF-GLU-N	
METOH	CH4O
MEVALONATE	C6H11O4
MG+2	Mg
MG-PROTOPORPHYRIN	C34H30N4O4Mg
MG-PROTOPORPHYRIN-MONOMETHYL-ESTER	C35H33N4O4Mg
MI-HEXAKISPHOSPHATE	C6H6O24P6
MONO-VINYL-PROTOCHLOROPHYLLIDE-A	C35H30N4O5Mg
MYO-INOSITOL	C6H12O6
N-5-PHOSPHORIBOSYL-ANTHRANILATE	C12H13NO9P
N-ACETYL-D-GLUCOSAMINE-1-P	C8H14NO9P
N-ACETYL-GLUTAMYL-P	C7H9NO8P
N-ALPHA-ACETYLORNITHINE	C7H14N2O3
NA+	Na
NAD	C21H26N7O14P2
NADH	C21H27N7O14P2
NADP	C21H25N7O17P3
NADPH	C21H26N7O17P3
NARINGENIN-CMPD	C15H12O5
NIACINAMIDE	C6H6N2O
NIACINE	C6H4NO2
NICOTINAMIDE_NUCLEOTIDE	C11H14N2O8P
NICOTINATE_NUCLEOTIDE	C11H12NO9P
NITRATE	NO3
NITRITE	NO2
O-PHOSPHO-L-HOMOSERINE	C4H8NO6P
O-SUCCINYLBENZOATE	C11H8O5
OBTUSIFOLIOL	C30H50O
OCTADEC-9-ENE-118-DIOIC-ACID	C18H30O4
OH-PYR	C3H3O4
OLEATE-CPD	C18H33O2
OLEOYL-COA	C39H64N7O17P3S
OROTATE	C5H3N2O4
OROTIDINE-5-PHOSPHATE	C10H10N2O11P
OXALACETIC_ACID	C4H2O5
OXALO-SUCCINATE	C6H3O7
OXIDIZED-GLUTATHIONE	C20H30N6O12S2
OXYGEN-MOLECULE	O2
Oleoyl-lipid	
P-AMINO-BENZOATE	C7H6NO2
P-COUMAROYL-COA	C30H38N7O18P3S
P-HYDROXY-PHENYLPYRUVATE	C9H7O4
P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE	C13H15N4O12P
PALMITATE	C16H31O2
PALMITYL-COA	C37H62N7O17P3S
PANTETHEINE-P	C11H21N2O7PS
PANTOTHENATE	C9H16NO5
PAPS	C10H11N5O13P2S
PELARGONIDIN-3-GLUCOSIDE-CMPD	C21H20O10
PHE	C9H11NO2
PHENYL-PYRUVATE	C9H7O3
PHOSPHO-ENOL-PYRUVATE	C3H2O6P
PHOSPHORIBOSYL-AMP	C15H19N5O14P2
PHOSPHORIBOSYL-ATP	C15H19N5O20P4
PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE	C9H11N3O9P
PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE	C10H13N4O9P
PHOSPHORIBOSYL-FORMIMINO-AICAR-P	C15H21N5O15P2
PHOSPHORIBULOSYL-FORMIMINO-AICAR-P	C15H21N5O15P2
PHOSPHORYL-CHOLINE	C5H13NO4P
PHOSPHORYL-ETHANOLAMINE	C2H7NO4P
PHYTOL	C20H40O
PHYTYL-PYROPHOSPHATE	C20H39O7P2
PORPHOBILINOGEN	C10H13N2O4
PPI	HO7P2
PRENAL	C5H8O
PREPHENATE	C10H8O6
PRO	C5H9NO2
PROPIONATE	C3H5O2
PROPIONYL-COA	C24H36N7O17P3S
PROTON	H
PROTOPORPHYRINOGEN	C34H38N4O4
PROTOPORPHYRIN_IX	C34H32N4O4
PRPP	C5H8O14P3
PSEUDOURIDINE-5-P	C9H11N2O9P
PUTRESCINE	C4H14N2
PYRIDOXAL	C8H9NO3
PYRIDOXAL_PHOSPHATE	C8H8NO6P
PYRIDOXAMINE	C8H13N2O2
PYRIDOXAMINE-5P	C8H12N2O5P
PYRIDOXINE	C8H11NO3
PYRIDOXINE-5P	C8H10NO6P
PYRUVATE	C3H3O3
QUINATE	C7H11O6
QUINOLINATE	C7H3NO4
R-2-HYDROXYGLUTARATE	C5H6O5
R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE	C12H20N2O9PS
RIBOFLAVIN	C17H19N4O6
RIBOSE-1P	C5H9O8P
RIBOSE-5P	C5H9O8P
RIBULOSE-5P	C5H9O8P
S-ADENOSYLMETHIONINAMINE	C14H24N6O3S
S-ADENOSYLMETHIONINE	C15H23N6O5S
S-ALLANTOIN	C4H6N4O3
S-HYDROXYMETHYLGLUTATHIONE	C11H18N3O7S
S-LACTOYL-GLUTATHIONE	C13H20N3O8S
SACCHAROPINE	C11H19N2O6
SER	C3H7NO3
SHIKIMATE	C7H9O5
SHIKIMATE-5P	C7H8O8P
SINAPALDEHYDE	C11H12O4
SINAPYL-ALCOHOL	C11H14O4
SO3	O3S
SORBITOL	C6H14O6
SPERMIDINE	C7H22N3
SPERMINE	C10H30N4
SQUALENE	C30H50
STEARIC_ACID	C18H35O2
STEAROYL-COA	C39H66N7O17P3S
SUC	C4H4O4
SUC-COA	C25H35N7O19P3S
SUCC-S-ALD	C4H5O3
SUCROSE	C12H22O11
SUCROSE-6P	C12H21O14P
SULFATE	O4S
SUPER-OXIDE	O2
TETRADECANOYL-COA	C35H58N7O17P3S
THF-GLU-N	
THIAMINE	C12H17N4OS
THIAMINE-P	C12H16N4O4PS
THR	C4H9NO3
THREO-DS-ISO-CITRATE	C6H5O7
THZ	C6H9NOS
THZ-P	C6H8NO4PS
TRANS-3-METHYL-GLUTACONYL-COA	C27H37N7O19P3S
TRP	C11H12N2O2
TRYPTAMINE	C10H13N2
TYR	C9H11NO3
TYRAMINE	C8H12NO
UDP-D-GALACTURONATE	C15H19N2O18P2
UDP-GLUCURONATE	C15H19N2O18P2
UDP-N-ACETYL-D-GLUCOSAMINE	C17H25N3O17P2
UMP	C9H11N2O9P
URACIL	C4H4N2O2
URATE	C5H4N4O3
UREA	CH4N2O
URIDINE	C9H12N2O6
UROPORPHYRINOGEN-III	C40H36N4O16
UTP	C9H11N2O15P3
VAL	C5H11NO2
WATER	H2O
XANTHINE	C5H4N4O2
XANTHOSINE	C10H12N4O6
XANTHOSINE-5-PHOSPHATE	C10H11N4O9P
XYLITOL	C5H12O5
D-L-Xylose	
XYLULOSE-5-PHOSPHATE	C5H9O8P
ZN+2	Zn
