column 1	Chemical Formula
CIS-4-HYDROXY-D-PROLINE	C5H9NO3
CIS-ACONITATE	C6H3O6
CIT	C6H5O7
CONIFERYL-ALCOHOL	C10H12O3
CONIFERYL-ALDEHYDE	C10H10O3
COPROPORPHYRINOGEN_III	C36H40N4O8
COUMARALDEHYDE	C9H8O2
COUMARATE	C9H7O3
COUMARYL-ALCOHOL	C9H10O2
CPD-10262	C39H64N7O17P3S
CPD-10267	C31H50N7O17P3S
CPD-10296	C33H33N4O3
CPD-10332	C20H26O6
CPD-1041	C8H9NO2
CPD-1042	C14H17NO7
CPD-10546	C11H11NO2
CPD-1063	C6H11O7PS
CPD-1074	C8H7NO
CPD-1083	C26H38N7O17P3S
CPD-1086	C9H15N4O9P
CPD-1091	C3H5N2O4
CPD-1099	C18H32O16
CPD-110	C7H5O3
CPD-1107	C6H7O21P5
CPD-11259	C18H28NO4
CPD-11260	C12H17O4
CPD-1128	C5H6NO3
CPD-11281	C10H16N3O6S2
CPD-11517	C39H60N7O18P3S
CPD-11518	C39H58N7O18P3S
CPD-11519	C39H60N7O19P3S
CPD-11520	C39H58N7O19P3S
CPD-11521	C37H56N7O18P3S
CPD-11522	C37H54N7O18P3S
CPD-11523	C37H56N7O19P3S
CPD-11524	C37H54N7O19P3S
CPD-11525	C35H52N7O18P3S
CPD-11526	C35H50N7O18P3S
CPD-11527	C35H52N7O19P3S
CPD-11528	C35H50N7O19P3S
CPD-11529	C33H48N7O18P3S
CPD-11534	C20H32
CPD-11700	C6H6O27P7
CPD-11712	C27H40O2
CPD-11763	C20H32N6O12S3
CPD-11938	C6H6O30P8
CPD-11940	C15H14O5
CPD-11941	C15H14O6
CPD-11945	C15H11O5
CPD-12173	C25H38N7O18P3S
CPD-12175	C4H7O3
CPD-12321	C40H64
CPD-1241	C6H11O9P
CPD-12486	C10H13NO3S
CPD-12491	C7H8OS
CPD-12493	C28H50O2
CPD-12495	C28H48O3
CPD-12496	C28H46O3
CPD-12513	C14H20N2O16P2
CPD-12568	C15H26O
CPD-12570	C15H9O7
CPD-12571	C16H11O7
CPD-12575	C15H22N2O17P2
CPD-12587	C15H25O4P
CPD-12594	C20H33O4P
CPD-12601	C6H12O6
CPD-12702	C8H7NO
CPD-12724	C15H10O5
CPD-12829	C53H82O2
CPD-12830	C30H46O2
CPD-12831	C31H48O2
CPD-12865	C31H52O2
CPD-12866	C31H50O2
CPD-12867	C31H49O3
CPD-12868	C30H48O
CPD-12871	C15H14O3
CPD-12884	C15H24O
CPD-12907	C29H48O2
CPD-12908	C29H46O2
CPD-12909	C29H45O3
CPD-12910	C28H44O
CPD-12911	C30H50O2
CPD-12912	C30H48O2
CPD-12914	C30H47O3
CPD-12915	C29H46O
CPD-13089	C18H29O3
CPD-13090	C18H29O3
CPD-13091	C18H29O3
CPD-13092	C18H31O4
CPD-13093	C18H31O4
CPD-13094	C18H31O4
CPD-13118	C16H23N5O15P2
CPD-13171	C40H62
CPD-13357	C5H9O4
CPD-13420	C18H28NO5
CPD-13428	C6H12O6
CPD-13667	C30H48O2
CPD-13670	C30H48O3
CPD-13811	C14H17NO9
CPD-13812	C14H17NO10
CPD-13907	C6H8O7
CPD-13910	C6H5O7
CPD-13914	C6H5O7
CPD-13921	C20H32O
CPD-13922	C20H30O
CPD-13923	C20H29O2
CPD-13924	C20H32O
CPD-14144	C12H10O2
CPD-14441	C5H5O3
CPD-14443	C7H7NO5
CPD-14447	C5H5O3
CPD-14461	C15H16O9
CPD-14483	C30H45O4
CPD-14485	C30H46O3
CPD-14553	C15H22N2O17P2
CPD-14646	C40H56
CPD-14647	C27H36O
CPD-14649	C19H26O3
CPD-14651	C19H23O5
CPD-14652	C19H22O5
CPD-14963	C34H33N4O5
CPD-15005	C27H30O16
CPD-15056	C4H7NO2
CPD-15269	C21H20O10
CPD-15272	C21H20O9
CPD-15283	C13H16O8
CPD-15317	C5H9O8P
CPD-15382	C6H12O6
CPD-15486	C16H12O5
CPD-15712	C6H11O9P
CPD-15818	C5H10O5
CPD-15834	C28H42O2
CPD-15836	C29H44O2
CPD-15837	C28H42O2
CPD-15838	C28H42O2
CPD-15839	C27H40O2
CPD-15894	C5H8O11P2
CPD-15895	C5H9O8P
CPD-15979	C6H11O9P
CPD-16013	C4H7NO2
CPD-16015	C3H5NO2
CPD-16541	C30H25O13
CPD-16602	C34H34O18
CPD-16610	C20H32O
CPD-16612	C20H32O2
CPD-16613	C20H30O2
CPD-16614	C20H28O2
CPD-16621	C30H50O2
CPD-16622	C30H50O3
CPD-16627	C20H32O
CPD-16675	C20H30O2
CPD-16676	C20H30O3
CPD-16679	C20H32O
CPD-16680	C20H30O
CPD-16681	C20H30O2
CPD-16700	C15H21O3
CPD-16719	C20H32O
CPD-16766	C15H20O3
CPD-16767	C15H20O4
CPD-170	C24H42O21
CPD-17370	C39H64N7O18P3S
CPD-17372	C21H39O8P
CPD-17446	C4H10OS2
CPD-17621	C37H62N7O18P3S
CPD-17624	C39H61N7O19P3S
CPD-17637	C12H23O3
CPD-17638	C33H54N7O18P3S
CPD-17640	C18H35O3
CPD-17641	C39H66N7O18P3S
CPD-17642	C16H34O2
CPD-17643	C18H38O2
CPD-17645	C18H27O5
CPD-17646	C18H29O5
CPD-1777	C16H22O8
CPD-178	C6H8O18P4
CPD-17866	C10H15N3O8S2
CPD-18	C39H62N7O17P3S
CPD-18118	C5H9O8P
CPD-18238	CHO6P
CPD-1825	C5H9O8P
CPD-18334	C11H5O4
CPD-18666	C35H34N4O6
CPD-18761	C10H11O3
CPD-19753	C8H13O8
CPD-19759	C35H32N4O7Mg
CPD-19811	C18H26NO5
CPD-19812	C18H25NO6
CPD-19813	C18H27O9
CPD-19956	C7H14O2
CPD-19958	C5H10O2
CPD-20012	C15H12O5
CPD-20323	C20H32O
CPD-20324	C20H30O
CPD-20325	C20H30O2
CPD-204	C19H23O7
CPD-20413	C20H32O2
CPD-21340	C45H73O7P2
CPD-2183	C40H76O10P
CPD-2184	C40H74O10P
CPD-2185	C40H72O10P
CPD-2186	C40H70O10P
CPD-2187	C43H80O10
CPD-2188	C43H78O10
CPD-2189	C43H74O10
CPD-2190	C43H70O10
CPD-2205	C8H9NO2
CPD-253	C9H10NO6
CPD-26279	C3H3O4
CPD-267	C9H10NO4
CPD-2961	C6H10O10P
CPD-3041	C15H12O4
CPD-3061	C15H12O4
CPD-313	C3H12N2
CPD-318	C6H7O6
CPD-329	C6H8O6
CPD-330	C6H10O6
CPD-332	C10H15N5O
CPD-334	C6H7O7
CPD-3617	C10H19O2
CPD-381	C5H6O5
CPD-3943	C28H48O2
CPD-3945	C28H46O2
CPD-3946	C28H48O2
CPD-397	C6H14NO2S
CPD-406	C3H9NO4P
CPD-4081	C29H48O
CPD-4101	C29H48O
CPD-412	C16H15O7
CPD-4124	C30H50O
CPD-4125	C29H48O
CPD-4126	C29H46O
CPD-4127	C29H48O
CPD-4141	C28H46O
CPD-4142	C29H48O
CPD-4143	C29H50O
CPD-4161	C28H46O
CPD-4162	C29H48O
CPD-4201	C15H20N5O13P3
CPD-4202	C15H20N5O14P3
CPD-4203	C15H20N5O10P2
CPD-4204	C15H20N5O11P2
CPD-4205	C15H20N5O7P
CPD-4206	C15H20N5O8P
CPD-4209	C10H13N5
CPD-4210	C10H13N5O
CPD-4211	C5H9O7P2
CPD-431	C15H9O5
CPD-440	C18H19NO4
CPD-444	C6H11O7PS
CPD-4441	C10H13N5O
CPD-4442	C15H21N5O5
CPD-458	C12H22O11
CPD-4614	C16H23N5O6
CPD-4616	C16H25N5O6
CPD-4622	C22H33N5O11
CPD-463	C12H21N3O6
CPD-464	C40H65O7P2
CPD-465	C30H49O7P2
CPD-469	C7H10NO4
CPD-4721	C15H22O
CPD-474	C15H11O7
CPD-4751	C20H32
CPD-4753	C20H32
CPD-4754	C20H32
CPD-479	C5H7O3S
CPD-497	C9H12N2O6
CPD-499	C6H10O7P
CPD-501	C6H8O10P
CPD-506	C6H8O18P4
CPD-510	C6H8O10P
CPD-520	C15H9O7
CPD-534	C6H7O21P5
CPD-535	C6H10O12P2
CPD-5441	C4H11NO4P
CPD-548	C11H16N3O7S
CPD-560	C6H12O4S
CPD-5601	C3H10NO
CPD-5602	C4H12NO
CPD-5661	C40H56O
CPD-578	C2H3N2O3
CPD-5821	C5H5N4O5
CPD-591	C15H9O6
CPD-597	C5H14N3O
CPD-602	C9H13N4O9P
CPD-603	C4H5N2O2
CPD-6082	C3H8NO
CPD-6121	C7H18N2O
CPD-6122	C7H15N2
CPD-6123	C7H16N2
CPD-634	C28H48O5
CPD-6361	C8H7NO
CPD-6362	C8H7NO2
CPD-6364	C8H7NO3
CPD-6365	C8H6NO4
CPD-641	C6H10O10P2
CPD-6442	C8H8O3
CPD-6443	C14H12O2
CPD-648	C8H7NO2
CPD-653	C21H29N7O15P2
CPD-6562	C15H19NO10
CPD-659	C10H12NO5
CPD-6681	C6H9O15P3
CPD-67	C2H2O6P
CPD-674	C9H7O2
CPD-6741	C6H7O21P5
CPD-6742	C6H8O18P4
CPD-6743	C6H8O18P4
CPD-6744	C6H9O15P3
CPD-6745	C6H9O15P3
CPD-6746	C6H11O9P
CPD-6747	C6H10O12P2
CPD-676	C9H7O4
CPD-69	CNO
CPD-692	C15H20O3
CPD-693	C15H19O4
CPD-6947	C30H44O2
CPD-6948	C30H50O
CPD-695	C20H26O5
CPD-696	C31H52O
CPD-697	C28H48O6
CPD-6972	C32H39N7O20P3S
CPD-698	C28H46O
CPD-6981	C18H15O8
CPD-6982	C9H9O5
CPD-6994	C15H11O6
CPD-700	C28H44O
CPD-7002	C20H35O7P2
CPD-7003	C20H37O7P2
CPD-7014	C35H30N4O6Mg
CPD-7015	C35H32N4O6Mg
CPD-7016	C55H71N4O6Mg
CPD-7025	C20H39O4P
CPD-706	C28H46O
CPD-7061	C35H34N4O5
CPD-7063	C35H36N4O7
CPD-7064	C35H38N4O7
CPD-707	C28H48O
CPD-7070	C9H10NO5
CPD-708	C28H48O
CPD-709	C28H48O
CPD-7093	C20H30O2
CPD-7096	C15H10O4
CPD-710	C28H50O
CPD-7100	C7H8O5
CPD-7117	C21H19O12
CPD-712	C28H50O2
CPD-713	C28H48O2
CPD-7137	C27H30O15
CPD-7138	C27H30O16
CPD-7139	C27H30O17
CPD-714	C28H48O3
CPD-7140	C36H36O18
CPD-7141	C39H37O21
CPD-7142	C42H38O24
CPD-715	C28H50O3
CPD-717	C28H48O3
CPD-720	C28H50O3
CPD-7204	C13H20O
CPD-7227	C12H19N2O7
CPD-7228	C12H17N2O7
CPD-723	C28H50O4
CPD-7231	C12H18N2O8
CPD-724	C28H50O5
CPD-725	C18H29O4
CPD-7279	C15H22O3
CPD-728	C18H27O3
CPD-7289	C12H18N2O9
CPD-729	C18H27O3
CPD-730	C18H29O3
CPD-731	C12H17O3
CPD-734	C12H17O3
CPD-7383	C30H25O13
CPD-7408	C40H62
CPD-7409	C40H56O
CPD-7424	C40H56O4
CPD-7496	C40H56
CPD-7524	C40H58
CPD-7526	C40H60
CPD-7535	C40H60
CPD-7600	C4H6O
CPD-763	H2O3As
CPD-7671	CH4S
CPD-7708	C39H37O21
CPD-7714	C36H36O18
CPD-7960	C36H36O20
CPD-7963	C42H46O25
CPD-7965	C51H52O28
CPD-7966	C33H40O22
CPD-8033	C27H30O17
CPD-8073	C43H78O10
CPD-8074	C43H76O10
CPD-8075	C43H76O10
CPD-8076	C43H74O10
CPD-8077	C43H76O10
CPD-8078	C43H72O10
CPD-8079	C43H74O10
CPD-8080	C43H72O10
CPD-8082	C51H88O15
CPD-8083	C51H86O15
CPD-8084	C51H86O15
CPD-8086	C40H74O10P
CPD-8087	C40H72O10P
CPD-8097	C9H6O4
CPD-8123	C10H10N5O8PS2Mo
CPD-8134	C28H48O
CPD-8155	C55H74N4O5
CPD-8157	C42H82NO8P
CPD-8158	C42H80NO8P
CPD-8160	C49H90O15
CPD-8161	C49H88O15
CPD-8162	C49H86O15
CPD-8165	C45H78O10
CPD-8166	C45H76O10
CPD-8167	C45H76O10
CPD-8184	C15H9O4
CPD-8268	C39H71O8P
CPD-83	C14H12O3
CPD-85	C6H9O3S
CPD-8651	C9H7NO5
CPD-8662	C20H22O4
CPD-8663	C26H33O9
CPD-8664	C32H43O14
CPD-8665	C38H54O19
CPD-8666	C44H64O24
CPD-8667	C32H44O14
CPD-8671	C18H15N2O8
CPD-8678	C18H29O4
CPD-8691	C20H32O
CPD-8692	C20H32O2
CPD-8719	C20H33O7P2
CPD-8843	C15H26O
CPD-8905	C20H22O6
CPD-8906	C20H22O6
CPD-8907	C20H24O6
CPD-8908	C20H24O6
CPD-8909	C20H26O6
CPD-8910	C20H26O6
CPD-8911	C20H24O6
CPD-8912	C20H22O6
CPD-8921	C20H20O6
CPD-8922	C20H18O6
CPD-8999	C6H9O6PS
CPD-9006	C15H24
CPD-9087	C20H34O
CPD-927	C12H10O3
CPD-9304	C3H6OS
CPD-9307	C6H11NO3S
CPD-9311	C2H6OS
CPD-9410	C15H20O2
CPD-9411	C15H24O
CPD-9412	C15H22O
CPD-9413	C15H21O2
CPD-9451	C7H8O4
CPD-9494	C7H8O3
CPD-9499	C8H10O3
CPD-9762	C10H16O
CPD-9907	C20H32
CPD-9923	C11H10O6
CPD-9924	C14H13O9
CPD-9925	C32H38N7O19P3S
CPD-9957	C54H84O4
CPD0-1108	C5H10O5
CPD0-2106	C29H44N7O18P3S
CPD0-2298	C3H7N3O3
CPD0-2463	C5H7O10P2
