Reaction	Genes of a reaction
RXN-13489	SOBIC.K043800 // SOBIC.002G396100 // SOBIC.003G228400 // SOBIC.003G109766 // SOBIC.003G229000 // SOBIC.003G228600 // SOBIC.003G228200
1.3.3.9-RXN	SOBIC.002G197000 // SOBIC.001G359500 // SOBIC.001G359400 // SOBIC.003G227700 // SOBIC.003G228500 // SOBIC.003G227800 // SOBIC.003G109832
RXN-11926	
RXN-9550	SOBIC.008G029200 // SOBIC.003G337500
RXN-11936	
RXN-15468	SOBIC.002G198600 // SOBIC.007G223500 // SOBIC.003G433900 // SOBIC.010G201266 // SOBIC.002G033400 // SOBIC.001G067100 // SOBIC.003G431700 // SOBIC.010G005500 // SOBIC.006G073500 // SOBIC.007G023300 // SOBIC.008G120266 // SOBIC.009G174150
RXN-12879	SOBIC.001G176400 // SOBIC.001G176100 // SOBIC.001G229500 // SOBIC.001G176600 // SOBIC.001G176300 // SOBIC.001G176000 // SOBIC.004G069700 // SOBIC.004G068900 // SOBIC.004G068600 // SOBIC.008G107200 // SOBIC.008G107100 // SOBIC.008G106200 // SOBIC.008G105800 // SOBIC.005G228400 // SOBIC.005G064900 // SOBIC.010G203800 // SOBIC.010G203500 // SOBIC.010G204200 // SOBIC.010G203600 // SOBIC.010G106800
RXN-9944	SOBIC.006G156000 // SOBIC.004G227200 // SOBIC.010G076800
RXN0-5257	SOBIC.006G029700
TRANS-RXN-227	SOBIC.003G012300
RXN-11935	
TRANS-RXN-206	SOBIC.001G129600
RXN-4228	SOBIC.005G030400
1.14.13.104-RXN	SOBIC.003G009700 // SOBIC.003G010000
RXN-7740	SOBIC.001G504900 // SOBIC.004G327200
RXN-13491	SOBIC.K043800 // SOBIC.002G396100 // SOBIC.003G228400 // SOBIC.003G109766 // SOBIC.003G229000 // SOBIC.003G228600 // SOBIC.003G228200
RXN-18939	SOBIC.010G106800 // SOBIC.010G203600 // SOBIC.010G204200 // SOBIC.010G203500 // SOBIC.010G203800 // SOBIC.005G064900 // SOBIC.005G228400 // SOBIC.008G105800 // SOBIC.008G106200 // SOBIC.008G107100 // SOBIC.008G107200 // SOBIC.004G068600 // SOBIC.004G068900 // SOBIC.004G069700 // SOBIC.001G176000 // SOBIC.001G176300 // SOBIC.001G176600 // SOBIC.001G229500 // SOBIC.001G176100 // SOBIC.001G176400
RXN-4505	SOBIC.010G191600 // SOBIC.010G191700
